Page ID,Client ID,Page Title,Page Notes,Page URL,Page Color,Page Color Hex,Title Tag,Meta Description
page_001,1,Home,,,colorD,#ffffff,,
page_001_001,2,Forecast,,,colorD,#ffffff,,
page_001_001_001,6,Local Weather,,,colorD,#ffffff,,
page_001_001_002,7,Severe Weather Alerts,,,colorD,#ffffff,,
page_001_001_003,8,Lakes and Rivers,,,colorD,#ffffff,,
page_001_001_004,9,Hurricanes,,,colorD,#ffffff,,
page_001_001_005,10,Fire,,,colorD,#ffffff,,
page_001_002,3,News,,,colorD,#ffffff,,
page_001_002_001,11,Events,,,colorD,#ffffff,,
page_001_002_002,12,Social Media,,,colorD,#ffffff,,
page_001_002_003,13,Newsletter,,,colorD,#ffffff,,
page_001_003,4,About,,,colorD,#ffffff,,
page_001_003_001,14,Careers,,,colorD,#ffffff,,
page_001_003_002,15,Contact Us,,,colorD,#ffffff,,
page_001_003_003,16,Glossary,,,colorD,#ffffff,,
page_001_004,5,Search,,,colorD,#ffffff,,
page_001_004_001,17,Search WA.net,,,colorD,#ffffff,,
page_001_004_002,18,Search Google,,,colorD,#ffffff,,
